report_date,category,program_name,pd,episodes,rating_avg_p2049,grp,rank,capex_million,source_file,data_area
2026-08-02,드라마,2026-08-02 00:00:00,,,,,,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,타이틀,담당 PD,,,,,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,이준환,8.0,0.8685875000000001,6.9487000000000005,5.0,2174.943466666667,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,이준환,12.0,1.0671808333333332,12.80617,3.0,2870.7799999999993,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,클라이맥스,,10.0,0.816193,8.16193,4.0,3895.65,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,허수아비,,12.0,2.0576525,24.691830000000003,1.0,3496.379999999999,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,닥터 섬보이,,12.0,1.1395383333333335,13.674460000000002,2.0,3752.929180000001,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,그대에게 드림,,6.0,0.6298166666666667,3.7789,6.0,1159.8675,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,구분,,,,,,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,"촌장(솔로, 사계, 지볶행)",,,6205.590966666667,0.37923495322865547,,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,촌장 외,,,11144.95918,0.4174821930572563,,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,total,,1.0,17350.55014666667,0.4038027002472892,,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
