report_date,category,program_name,episode,broadcast_date,metric,value,source_file,data_area
2026-08-02,드라마,아이돌아이,1,1970-01-01,target,1.19704,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,2,1970-01-01,target,0.98283,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,3,1970-01-01,target,0.69134,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,4,1970-01-01,target,0.85711,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,5,1970-01-01,target,0.91473,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,6,1970-01-01,target,0.70482,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,7,1970-01-01,target,0.9322,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,8,1970-01-01,target,0.66863,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,1,1970-01-01,household,3.48647,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,2,1970-01-01,household,2.82846,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,3,1970-01-01,household,3.20913,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,4,1970-01-01,household,3.07689,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,5,1970-01-01,household,3.23278,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,6,1970-01-01,household,2.64363,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,7,1970-01-01,household,3.4428,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아이돌아이,8,1970-01-01,household,2.75,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,1,1970-01-01,target,0.91047,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,2,1970-01-01,target,0.61235,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,3,1970-01-01,target,0.72257,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,4,1970-01-01,target,1.33412,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,5,1970-01-01,target,0.542,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,6,1970-01-01,target,0.92668,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,7,1970-01-01,target,1.0268,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,8,1970-01-01,target,1.30646,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,9,1970-01-01,target,1.25961,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,10,1970-01-01,target,0.8036,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,11,1970-01-01,target,1.55746,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
