report_date,category,program_name,episodes,rating_target_p2049,rating_household,capex_million,revenue_million,channel,note,source_file,data_area
2026-08-02,드라마,아이돌아이,8.0,0.8685875000000001,3.48647,2174.943466666667,2174.943466666667,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,아너: 그녀들의 법정,12.0,1.0671808333333332,3.814715833333333,2870.7799999999997,2870.7799999999997,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,클라이맥스,10.0,0.816193,3.4071939999999996,3895.6499999999996,3895.6499999999996,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,허수아비,12.0,2.0576525,6.292981666666667,3496.38,3496.38,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,닥터 섬보이,12.0,1.1395383333333335,4.857149166666667,3752.929180000001,3752.929180000001,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,드라마,그대애게 드림,6.0,0.6298166666666667,2.57357,1159.8675,1159.8675,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,drama
2026-08-02,예능,나는 솔로,30.0,1.1562233333333332,,1757.6999999999994,1757.6999999999994,ENA,'25년 계약 금액,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,예능,나솔사계,31.0,0.47940612903225793,,1349.988,1349.988,ENA,'25년 계약 금액,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,예능,크레이지 투어,10.0,0.18047200000000002,,1000.0,1000.0,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,예능,쯔양 몇끼,9.0,0.4863833333333334,,315.0,315.0,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,예능,짐쌀라비움,,0.14586,,90.0,90.0,ENA,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
