report_date,program_name,channel,category,revenue_million,note,source_file
2026-08-02,아이돌아이,ENA,드라마,2174.943466666667,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,아너: 그녀들의 법정,ENA,드라마,2870.7799999999997,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,클라이맥스,ENA,드라마,3895.6499999999996,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,허수아비,ENA,드라마,3496.38,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,닥터 섬보이,ENA,드라마,3752.929180000001,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,그대애게 드림,ENA,드라마,1159.8675,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,나는 솔로,ENA,예능,1757.6999999999994,'25년 계약 금액,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,나솔사계,ENA,예능,1349.988,'25년 계약 금액,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,크레이지 투어,ENA,예능,1000.0,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,쯔양 몇끼,ENA,예능,315.0,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
2026-08-02,짐쌀라비움,ENA,예능,90.0,,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx
