report_date,program_name,target_episodes,target_rating,target_grp,source_file,data_area
2026-08-02,나는SOLO,52,1.1,57.2,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,나.솔.사.계,52,0.4,20.8,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,백종원의 레미제라블,7,0.7,4.8999999999999995,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,기안이쎄오,4,0.3,1.2,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,언더커버,10,0.5,5.0,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,지구마블3,15,0.8,12.0,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,내 아이의 사생활2,24,0.6,14.399999999999999,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,투게더<가제>,12,0.5,6.0,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,<신규기획안>안강최,12,0.5,6.0,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
2026-08-02,<LGU+공동제작2>워킹할리데이,8,0.5,4.0,◎ _26년 오리지널 콘텐츠 관리 (260101~0802 현재).xlsx,variety
